Date,Quarter,Month,Week_Number,Region,Product_Category,Sales_Representative,Customer_Segment,Revenue_USD,Cost_USD,Profit_USD,Profit_Margin_Percent,Deal_Size_USD,Deals_Closed,Customer_Satisfaction_Score,Risk_Score,Marketing_Spend_USD,Customer_Acquisition_Cost,Employee_Count,Market_Penetration_Percent,Competitive_Pressure,Contract_Length_Months,Renewal_Probability,Churn_Risk,Lead_Source,Technology_Stack,Industry_Vertical
2024-03-10,Q1,March,10,Asia Pacific,Professional Services,Mike Chen,Mid-Market,57394.82,20088.19,37306.63,65.01,55847.94,6,8.7,2.2,8064.77,1487.93,124,52.1,Medium,12,0.89,Low,Website,Hybrid,Technology
2024-03-17,Q1,March,11,Middle East & Africa,Software Licenses,James Wilson,Small Business,33294.56,13317.82,19976.74,60.01,19684.27,11,7.9,3.2,4661.84,889.67,46,25.8,High,6,0.76,Medium,Social Media,On-Premise,Manufacturing
2024-03-24,Q1,March,12,Europe,Training & Support,Priya Patel,Government,79847.92,27946.77,51901.15,65.01,98594.73,4,9.2,1.6,10661.52,1994.83,213,67.4,Medium,36,0.94,Low,Trade Show,Multi-Cloud,Healthcare
2024-03-31,Q1,March,13,Latin America,Hardware,Alex Thompson,Education,44185.73,16790.58,27395.15,62.01,30294.87,8,8.3,2.6,6186.40,1101.23,68,40.2,Medium,12,0.86,Medium,Partner,Hybrid,Education
2024-04-07,Q2,April,14,North America,Professional Services,Maria Garcia,Enterprise,89547.83,31341.74,58206.09,65.01,195847.62,3,9.3,1.5,12652.10,2238.95,345,79.4,Low,24,0.94,Low,Referral,Cloud-Native,Technology
2024-04-07,Q2,April,14,Asia Pacific,Cloud Subscriptions,David Kim,Mid-Market,59821.47,20937.51,38883.96,65.01,58294.73,5,8.8,2.1,8414.81,1534.89,128,53.7,Medium,12,0.90,Low,Website,Hybrid,Financial Services
2024-04-14,Q2,April,15,Middle East & Africa,Software Licenses,Sarah Johnson,Small Business,34847.29,13938.92,20908.37,60.01,20594.83,10,8.0,3.1,4878.62,923.45,48,27.1,High,6,0.77,Medium,Cold Outreach,On-Premise,Retail
2024-04-21,Q2,April,16,Europe,Training & Support,Elena Rodriguez,Government,82594.73,28908.16,53686.57,65.01,101847.92,3,9.4,1.4,11666.21,2063.42,221,69.8,Medium,36,0.95,Low,Trade Show,Multi-Cloud,Healthcare
2024-04-28,Q2,April,17,Latin America,Hardware,Mike Chen,Education,45847.92,17421.61,28426.31,62.01,31594.85,8,8.4,2.5,6419.91,1143.67,71,41.5,Medium,12,0.87,Medium,Partner,Hybrid,Education
2024-05-05,Q2,May,18,North America,Cloud Subscriptions,James Wilson,Enterprise,106594.73,37308.16,69286.57,65.01,247385.94,2,9.7,1.1,15059.41,2664.74,456,89.6,Low,24,0.98,Low,Referral,Cloud-Native,Financial Services
2024-05-05,Q2,May,18,Asia Pacific,Professional Services,Priya Patel,Mid-Market,61847.93,21646.78,40201.15,65.01,60594.82,5,8.9,2.0,8709.91,1587.34,133,55.2,Medium,12,0.91,Low,Website,Hybrid,Technology
2024-05-12,Q2,May,19,Middle East & Africa,Software Licenses,Alex Thompson,Small Business,36294.87,14517.95,21776.92,60.01,21485.73,9,8.1,3.0,5081.28,967.23,51,28.4,High,6,0.78,Medium,Social Media,On-Premise,Government
2024-05-19,Q2,May,20,Europe,Training & Support,Maria Garcia,Government,85847.62,30046.67,55800.95,65.01,105294.83,3,9.5,1.3,12122.67,2145.89,234,72.1,Medium,36,0.96,Low,Trade Show,Multi-Cloud,Healthcare
2024-05-26,Q2,May,21,Latin America,Hardware,David Kim,Education,47594.85,18086.24,29508.61,62.01,32847.93,7,8.5,2.4,6664.48,1187.45,74,42.8,Medium,12,0.88,Medium,Partner,Hybrid,Education
2024-06-02,Q2,June,22,North America,Professional Services,Sarah Johnson,Enterprise,92847.56,32496.65,60350.91,65.01,203594.72,3,9.4,1.4,13119.66,2321.78,378,82.3,Low,24,0.95,Low,Referral,Cloud-Native,Technology
2024-06-02,Q2,June,22,Asia Pacific,Cloud Subscriptions,Elena Rodriguez,Mid-Market,64294.73,22503.16,41791.57,65.01,62847.93,5,9.0,1.9,9054.86,1645.23,138,56.9,Medium,12,0.92,Low,Website,Hybrid,Financial Services
2024-06-09,Q2,June,23,Middle East & Africa,Software Licenses,Mike Chen,Small Business,37847.95,15139.18,22708.77,60.01,22394.85,8,8.2,2.9,5308.51,1009.67,53,29.7,High,6,0.79,High,Cold Outreach,On-Premise,Manufacturing
2024-06-16,Q2,June,24,Europe,Training & Support,James Wilson,Government,89294.83,31253.19,58041.64,65.01,109594.72,3,9.6,1.2,12611.88,2234.56,247,74.5,Medium,36,0.97,Low,Trade Show,Multi-Cloud,Healthcare
2024-06-23,Q2,June,25,Latin America,Hardware,Priya Patel,Education,49284.72,18728.39,30556.33,62.01,34194.85,7,8.6,2.3,6900.26,1231.89,77,44.1,Medium,12,0.89,Medium,Partner,Hybrid,Education
2024-06-30,Q2,June,26,North America,Cloud Subscriptions,Alex Thompson,Enterprise,109847.92,38446.77,71401.15,65.01,259384.73,2,9.8,1.0,15529.12,2748.95,492,92.1,Low,24,0.99,Low,Referral,Cloud-Native,Financial Services
2024-07-07,Q3,July,27,Asia Pacific,Professional Services,Maria Garcia,Mid-Market,66847.93,23396.78,43451.15,65.01,65294.84,4,9.1,1.8,9424.71,1698.45,143,58.6,Medium,12,0.93,Low,Website,Hybrid,Technology
2024-07-14,Q3,July,28,Middle East & Africa,Software Licenses,David Kim,Small Business,39184.73,15673.89,23510.84,60.01,23194.87,8,8.3,2.8,5495.86,1053.21,56,30.9,High,6,0.80,Medium,Social Media,On-Premise,Retail
2024-07-21,Q3,July,29,Europe,Training & Support,Sarah Johnson,Government,92594.72,32408.15,60186.57,65.01,113847.95,3,9.7,1.1,13082.46,2312.78,261,76.8,Medium,36,0.98,Low,Trade Show,Multi-Cloud,Healthcare
2024-07-28,Q3,July,30,Latin America,Hardware,Elena Rodriguez,Education,51294.85,19492.24,31802.61,62.01,35594.73,6,8.7,2.2,7181.48,1278.95,81,45.4,Medium,12,0.90,Medium,Partner,Hybrid,Education
2024-08-04,Q3,August,31,North America,Professional Services,Mike Chen,Enterprise,95847.62,33546.67,62300.95,65.01,211594.83,2,9.5,1.3,13549.07,2398.67,412,84.7,Low,24,0.96,Low,Referral,Cloud-Native,Technology
2024-08-11,Q3,August,32,Asia Pacific,Cloud Subscriptions,James Wilson,Mid-Market,69294.85,24253.20,45041.65,65.01,67847.92,4,9.2,1.7,9765.88,1756.23,149,60.3,Medium,12,0.94,Low,Website,Hybrid,Financial Services
2024-08-18,Q3,August,33,Middle East & Africa,Software Licenses,Priya Patel,Small Business,40584.92,16233.97,24350.95,60.01,24194.73,7,8.4,2.7,5682.09,1098.34,58,32.1,High,6,0.81,High,Cold Outreach,On-Premise,Government
2024-08-25,Q3,August,34,Europe,Training & Support,Alex Thompson,Government,95847.93,33546.78,62301.15,65.01,117594.84,3,9.8,1.0,13544.31,2394.85,275,79.2,Medium,36,0.99,Low,Trade Show,Multi-Cloud,Healthcare
2024-09-01,Q3,September,35,Latin America,Hardware,Maria Garcia,Education,53294.73,20252.40,33042.33,62.01,36847.95,6,8.8,2.1,7461.36,1324.67,84,46.7,Medium,12,0.91,Medium,Partner,Hybrid,Education
2024-09-08,Q3,September,36,North America,Cloud Subscriptions,David Kim,Enterprise,112594.83,39408.19,73186.64,65.01,271847.92,2,9.9,0.9,15914.78,2812.45,528,94.3,Low,24,0.99,Low,Referral,Cloud-Native,Financial Services
2024-09-15,Q3,September,37,Asia Pacific,Professional Services,Sarah Johnson,Mid-Market,71847.96,25146.79,46701.17,65.01,70294.85,4,9.3,1.6,10126.72,1812.67,154,62.0,Medium,12,0.95,Low,Website,Hybrid,Technology
2024-09-22,Q3,September,38,Middle East & Africa,Software Licenses,Elena Rodriguez,Small Business,42184.75,16873.90,25310.85,60.01,25094.82,7,8.5,2.6,5906.27,1143.78,61,33.4,High,6,0.82,Medium,Social Media,On-Premise,Manufacturing
2024-09-29,Q3,September,39,Europe,Training & Support,Mike Chen,Government,98594.72,34508.15,64086.57,65.01,121294.85,2,9.9,0.8,13934.16,2464.73,288,81.5,Medium,36,1.00,Low,Trade Show,Multi-Cloud,Healthcare
2024-10-06,Q4,October,40,Latin America,Hardware,James Wilson,Education,54847.93,20842.61,34005.32,62.01,38194.73,6,8.9,2.0,7678.71,1367.45,87,48.0,Medium,12,0.92,Medium,Partner,Hybrid,Education
2024-10-13,Q4,October,41,North America,Professional Services,Priya Patel,Enterprise,98294.85,34403.20,63891.65,65.01,217594.83,2,9.6,1.2,13881.48,2456.89,445,86.9,Low,24,0.97,Low,Referral,Cloud-Native,Technology
2024-10-20,Q4,October,42,Asia Pacific,Cloud Subscriptions,Alex Thompson,Mid-Market,74294.83,26003.19,48291.64,65.01,72847.95,4,9.4,1.5,10472.08,1867.34,159,63.7,Medium,12,0.96,Low,Website,Hybrid,Financial Services
2024-10-27,Q4,October,43,Middle East & Africa,Software Licenses,Maria Garcia,Small Business,43794.85,17517.94,26276.91,60.01,25984.73,6,8.6,2.5,6131.88,1189.45,63,34.7,High,6,0.83,High,Cold Outreach,On-Premise,Retail
2024-11-03,Q4,November,44,Europe,Training & Support,David Kim,Government,101847.95,35646.78,66201.17,65.01,125094.72,2,10.0,0.7,14360.72,2538.91,302,83.8,Medium,36,1.00,Low,Trade Show,Multi-Cloud,Healthcare
2024-11-10,Q4,November,45,Latin America,Hardware,Sarah Johnson,Education,56394.85,21430.04,34964.81,62.01,39594.82,5,9.0,1.9,7895.28,1409.73,91,49.3,Medium,12,0.93,Medium,Partner,Hybrid,Education
2024-11-17,Q4,November,46,North America,Cloud Subscriptions,Elena Rodriguez,Enterprise,115847.92,40546.77,75301.15,65.01,283594.73,2,10.0,0.8,16369.91,2898.45,564,96.5,Low,24,1.00,Low,Referral,Cloud-Native,Financial Services
2024-11-24,Q4,November,47,Asia Pacific,Professional Services,Mike Chen,Mid-Market,76847.95,26896.78,49951.17,65.01,75294.84,3,9.5,1.4,10835.52,1921.67,165,65.4,Medium,12,0.97,Low,Website,Hybrid,Technology
2024-12-01,Q4,December,48,Middle East & Africa,Software Licenses,James Wilson,Small Business,45294.73,18117.89,27176.84,60.01,26894.85,6,8.7,2.4,6341.26,1234.78,66,35.9,High,6,0.84,Medium,Social Media,On-Premise,Government
2024-12-08,Q4,December,49,Europe,Training & Support,Priya Patel,Government,104847.93,36696.78,68151.15,65.01,128594.73,2,10.0,0.6,14808.51,2615.89,316,86.1,Medium,36,1.00,Low,Trade Show,Multi-Cloud,Healthcare
2024-12-15,Q4,December,50,Latin America,Hardware,Alex Thompson,Education,57894.72,22001.20,35893.52,62.01,40847.93,5,9.1,1.8,8106.76,1453.89,94,50.6,Medium,12,0.94,Medium,Partner,Hybrid,Education
2024-12-22,Q4,December,51,North America,Professional Services,Maria Garcia,Enterprise,101294.85,35453.20,65841.65,65.01,223594.72,2,9.7,1.1,14303.08,2532.45,478,89.2,Low,24,0.98,Low,Referral,Cloud-Native,Technology
2024-12-29,Q4,December,52,Asia Pacific,Cloud Subscriptions,David Kim,Mid-Market,78594.73,27508.16,51086.57,65.01,77594.85,3,9.6,1.3,11083.36,1965.23,171,67.1,Medium,12,0.98,Low,Website,Hybrid,Financial Services
